,index,ts_code_x,trade_date,open,high,low,close_x,pre_close,change,pct_chg,vol,amount,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
2251,2251,600323.SH,20130412,6.675,6.6929,6.4683,6.4773,6.675,-0.1977000000000002,-2.9618,45042.28,32877.663,0.9231,1.2864,0.97,21.951,21.951,1.8425,4.7176,4.7176,0.6231,,57924.2881,48792.3155,35014.4066,417634.1172,351792.5948
2252,2252,600323.SH,20130411,6.675,6.7648,6.6211,6.675,6.648,0.027000000000000135,0.4061,47493.03,35338.499,0.9734,1.3564,1.02,22.6208,22.6208,1.8987,4.8616,4.8616,0.6046,,57924.2881,48792.3155,35014.4066,430377.4606,362526.9042
2253,2253,600323.SH,20130410,6.7289,6.7468,6.5672,6.648,6.7109,-0.06289999999999996,-0.9373,41794.81,30963.32,0.8566,1.1936,0.87,22.5295,22.5295,1.8911,4.8419,4.8419,0.6071,,57924.2881,48792.3155,35014.4066,428639.7319,361063.1347
2254,2254,600323.SH,20130409,6.684,6.7558,6.6211,6.7109,6.639,0.07189999999999941,1.083,48207.66,35954.216,0.988,1.3768,0.98,22.7426,22.7426,1.909,4.8877,4.8877,0.6014,0.6014,57924.2881,48792.3155,35014.4066,432694.4321,364478.5968
2255,2255,600323.SH,20130408,6.4324,6.675,6.3785,6.639,6.5851,0.0539000000000005,0.8185,48445.69,35188.241,0.9929,1.3836,0.79,22.4991,22.4991,1.8885,4.8354,4.8354,0.6079,0.6079,57924.2881,48792.3155,35014.4066,428060.4891,360575.2115
2256,2256,600323.SH,20130403,6.684,6.684,6.4953,6.5851,6.648,-0.06289999999999996,-0.9461,46381.92,33854.004,0.9506,1.3247,0.64,22.3164,22.3164,1.8732,4.7961,4.7961,0.6129,0.6129,57924.2881,48792.3155,35014.4066,424585.0318,357647.6726
2257,2257,600323.SH,20130402,6.7738,6.8277,6.6031,6.648,6.7738,-0.1257999999999999,-1.8572,48863.91,36467.735,1.0015,1.3955,0.58,22.5295,22.5295,1.8911,4.8419,4.8419,0.6071,0.6071,57924.2881,48792.3155,35014.4066,428639.7319,361063.1347
2258,2258,600323.SH,20130401,6.6031,6.8007,6.6031,6.7738,6.5941,0.17969999999999953,2.7252,49660.24,37257.881,1.0178,1.4183,0.45,22.9557,22.9557,1.9269,4.9335,4.9335,0.5958,0.5958,57924.2881,48792.3155,35014.4066,436749.1323,367894.0589
2259,2259,600323.SH,20130329,6.5672,6.6929,6.5582,6.5941,6.6031,-0.009000000000000341,-0.1363,53392.89,39477.337,1.0943,1.5249,0.42,22.3468,22.3468,1.8757,4.8027,4.8027,0.6121,0.6121,57924.2881,48792.3155,35014.4066,425164.2747,358135.5958
2260,2260,600323.SH,20130328,6.8996,6.8996,6.5851,6.6031,6.9175,-0.3144,-4.545,109519.98,82121.72,2.2446,3.1279,0.67,22.3773,22.3773,1.8783,4.8092,4.8092,0.6112,0.6112,57924.2881,48792.3155,35014.4066,425743.5175,358623.5189
