Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
HHC,Howard Hughes Corporation (The) Common Stock,$74.41,-2.99,-3.863%,3713123886.00,United States,,172387,Real Estate,Building operators
HIW,Highwoods Properties Inc. Common Stock,$27.21,-0.93,-3.305%,2862428274.00,United States,1994,633230,Real Estate,Real Estate Investment Trusts
HPP,Hudson Pacific Properties Inc. Common Stock,$9.43,-0.39,-3.971%,1328906908.00,United States,2010,1706068,Real Estate,Real Estate Investment Trusts
HR,Healthcare Realty Trust Incorporated Common Stock,$19.07,-0.21,-1.089%,7257513570.00,United States,,2727498,Real Estate,Real Estate Investment Trusts
HST,Host Hotels & Resorts Inc. Common Stock,$15.84,-0.32,-1.98%,11326039734.00,United States,,4935569,Real Estate,Real Estate Investment Trusts
HT,Hersha Hospitality Trust Class A Common Shares of Beneficial Interest,$8.62,-0.26,-2.928%,341762321.00,United States,1999,348349,Real Estate,Real Estate Investment Trusts
HTIA,Healthcare Trust Inc. 7.375% Series A Cumulative Redeemable Perpetual Preferred Stock,$20.415,-0.285,-1.377%,0.00,United States,,4923,Real Estate,Real Estate Investment Trusts
HTIBP,Healthcare Trust Inc. 7.125% Series B Cumulative Redeemable Perpetual Preferred Stock,$18.90,0.13,0.693%,0.00,United States,,3109,Real Estate,Real Estate Investment Trusts
IH,iHuman Inc. American depositary shares each representing five Class A ordinary shares,$2.33,-0.28,-10.728%,124026177.00,United States,2020,34026,Real Estate,Other Consumer Services
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$1.4801,-0.1099,-6.912%,13494831.00,United States,1999,2780,Real Estate,Real Estate Investment Trusts
IIPR,Innovative Industrial Properties Inc. Common Stock,$100.62,-1.14,-1.12%,2814637927.00,United States,2016,255208,Real Estate,Real Estate Investment Trusts
ILPT,Industrial Logistics Properties Trust Common Shares of Beneficial Interest,$3.05,-0.10,-3.175%,199984108.00,United States,2018,891940,Real Estate,Real Estate Investment Trusts
INDT,INDUS Realty Trust Inc. (MD) Common Stock,$63.22,-1.09,-1.695%,644364540.00,United States,,21799,Real Estate,Real Estate Investment Trusts
INN,Summit Hotel Properties Inc. Common Stock,$7.01,-0.17,-2.368%,749340343.00,United States,2011,389929,Real Estate,Real Estate Investment Trusts
INVH,Invitation Homes Inc. Common Stock,$29.11,-0.62,-2.085%,17798142451.00,United States,2017,2146276,Real Estate,Real Estate Investment Trusts
IRM,Iron Mountain Incorporated (Delaware)Common Stock REIT,$49.00,-1.70,-3.353%,14244987813.00,United States,,1013257,Real Estate,Real Estate Investment Trusts
IRS,IRSA Inversiones Y Representaciones S.A. Common Stock,$4.90,-0.10,-2.00%,397338741.00,Argentina,,139107,Real Estate,Homebuilding
IRT,Independence Realty Trust Inc. Common Stock,$16.70,-0.40,-2.339%,3742042530.00,United States,2013,1217406,Real Estate,Real Estate Investment Trusts
IVR,INVESCO MORTGAGE CAPITAL INC Common Stock,$12.85,-0.33,-2.504%,456175000.00,United States,2009,874418,Real Estate,Real Estate Investment Trusts
IVT,InvenTrust Properties Corp. Common Stock,$23.00,-0.18,-0.777%,1550834133.00,,2021,252087,Real Estate,Real Estate Investment Trusts
JBGS,JBG SMITH Properties Common Shares ,$18.59,-0.85,-4.372%,2115317693.00,United States,2017,625412,Real Estate,Real Estate Investment Trusts
JOE,St. Joe Company (The) Common Stock,$37.53,-1.64,-4.187%,2189332854.00,United States,,157498,Real Estate,Homebuilding
JZ,Jianzhi Education Technology Group Company Limited American Depositary Shares,$0.732,0.004,0.549%,44326260.00,China,2022,63322,Real Estate,Other Consumer Services
KIM,Kimco Realty Corporation Common Stock,$20.88,-0.42,-1.972%,12913462110.00,United States,,3912187,Real Estate,Real Estate Investment Trusts
KRC,Kilroy Realty Corporation Common Stock,$38.11,-1.36,-3.446%,4454199734.00,United States,1997,563585,Real Estate,Real Estate Investment Trusts
KREF,KKR Real Estate Finance Trust Inc. Common Stock,$14.09,-0.54,-3.691%,973548705.00,United States,2017,523203,Real Estate,Real Estate Investment Trusts
KRG,Kite Realty Group Trust Common Stock,$20.69,-0.48,-2.267%,4533156386.00,United States,2004,1028458,Real Estate,Real Estate Investment Trusts
KUKE,Kuke Music Holding Limited American Depositary Shares each representing one Ordinary Share,$0.50,0.0062,1.256%,14783625.00,,2021,1091,Real Estate,Other Consumer Services
KW,Kennedy-Wilson Holdings Inc. Common Stock,$15.42,-0.37,-2.343%,2124733643.00,United States,,771928,Real Estate,Real Estate
LADR,Ladder Capital Corp Class A Common Stock,$10.03,-0.24,-2.337%,1269440420.00,,2014,626339,Real Estate,Real Estate Investment Trusts
LAMR,Lamar Advertising Company Class A Common Stock,$93.50,-0.27,-0.288%,9507404445.00,United States,1996,728713,Real Estate,Real Estate Investment Trusts
LAND,Gladstone Land Corporation Common Stock,$18.04,-0.54,-2.906%,626060250.00,United States,2013,192150,Real Estate,Real Estate Investment Trusts
LANDM,Gladstone Land Corporation 5.00% Series D Cumulative Term Preferred Stock,$23.05,0.00,0.00%,555560458.00,United States,,282,Real Estate,Real Estate Investment Trusts
LANDO,Gladstone Land Corporation 6.00% Series B Cumulative Redeemable Preferred Stock,$23.8861,-0.0239,-0.10%,0.00,United States,,15152,Real Estate,Real Estate Investment Trusts
LEN,Lennar Corporation Class A Common Stock,$88.50,-2.20,-2.426%,25768242861.00,United States,,1203519,Real Estate,Building operators
LFT,Lument Finance Trust Inc. Common Stock,$1.93,0.01,0.521%,100806123.00,United States,2013,70872,Real Estate,Real Estate Investment Trusts
LOAN,Manhattan Bridge Capital Inc,$5.69,-0.01,-0.175%,65406237.00,United States,,10647,Real Estate,Real Estate Investment Trusts
LSI,Life Storage Inc. Common Stock,$98.42,-1.73,-1.727%,8365459462.00,United States,,257280,Real Estate,Real Estate Investment Trusts
LTC,LTC Properties Inc. Common Stock,$35.11,-0.94,-2.607%,1422123212.00,United States,,185941,Real Estate,Real Estate Investment Trusts
LXP,LXP Industrial Trust Common Stock (Maryland REIT),$10.12,-0.24,-2.317%,2790319341.00,United States,,1669287,Real Estate,Real Estate Investment Trusts
MAA,Mid-America Apartment Communities Inc. Common Stock,$153.89,-2.93,-1.868%,17770758300.00,United States,1994,353021,Real Estate,Real Estate Investment Trusts
MAC,Macerich Company (The) Common Stock,$11.05,-0.49,-4.246%,2373371576.00,United States,1994,1284972,Real Estate,Real Estate Investment Trusts
MAYS,J. W. Mays Inc. Common Stock,$48.10,0.10,0.208%,96959018.00,United States,,429,Real Estate,Building operators
MDRR,Medalist Diversified REIT Inc. Common Stock,$0.6651,0.0027,0.408%,10108391.00,United States,2018,32414,Real Estate,Real Estate Investment Trusts
MDV,Modiv Inc. Class C Common Stock,$12.3755,-0.1245,-0.996%,92641335.00,,2022,14111,Real Estate,Real Estate Investment Trusts
METX,Meten Holding Group Ltd. Ordinary Shares,$0.178,-0.0031,-1.712%,3524430.00,China,,267192,Real Estate,Other Consumer Services
METXW,Meten Holding Group Ltd. Warrant,$0.04,-0.01,-20.00%,0.00,China,,1000,Real Estate,Other Consumer Services
MFA,MFA Financial Inc.,$10.03,-0.41,-3.927%,1021023318.00,United States,,1139486,Real Estate,Real Estate Investment Trusts
MITT,AG Mortgage Investment Trust Inc. Common Stock,$5.45,-0.24,-4.218%,120239290.00,United States,2011,200831,Real Estate,Real Estate Investment Trusts
MOB,Mobilicom Limited American Depositary Shares,$0.9763,-0.0337,-3.337%,1142933.00,Israel,2022,36208,Real Estate,Real Estate Investment Trusts
MPW,Medical Properties Trust Inc. common stock,$11.04,-0.28,-2.473%,6601920000.00,United States,2005,13719630,Real Estate,Real Estate Investment Trusts
NHI,National Health Investors Inc. Common Stock,$52.60,-1.50,-2.773%,2282247829.00,United States,,225045,Real Estate,Real Estate Investment Trusts
NLY,Annaly Capital Management Inc. Common Stock,$21.85,-0.64,-2.846%,10222862049.00,United States,,7223222,Real Estate,Real Estate Investment Trusts
NNN,National Retail Properties Common Stock,$45.37,-0.52,-1.133%,8109106637.00,United States,,528037,Real Estate,Real Estate Investment Trusts
NREF,NexPoint Real Estate Finance Inc. Common Stock,$15.68,-0.68,-4.156%,234882621.00,,2020,59514,Real Estate,Real Estate Investment Trusts
NSA,National Storage Affiliates Trust Common Shares of Beneficial Interest,$35.73,-0.69,-1.895%,3246618562.00,,2015,641540,Real Estate,Real Estate Investment Trusts
NTST,NetSTREIT Corp. Common Stock,$18.39,-0.51,-2.698%,1009175065.00,United States,2020,422378,Real Estate,Real Estate Investment Trusts
NXRT,NexPoint Residential Trust Inc. Common Stock,$42.74,-0.92,-2.107%,1091977894.00,United States,2015,64230,Real Estate,Real Estate Investment Trusts
NYC,New York City REIT Inc. Class A Common Stock,$1.97,0.09,4.787%,29728068.00,,2020,50636,Real Estate,Real Estate Investment Trusts
NYMT,New York Mortgage Trust Inc. Common Stock,$2.57,-0.14,-5.166%,953632686.00,United States,,4299021,Real Estate,Real Estate Investment Trusts
NYMTL,New York Mortgage Trust Inc. 6.875% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock $0.01 par value per share,$16.86,-0.04,-0.237%,0.00,United States,,7275,Real Estate,Real Estate Investment Trusts
NYMTM,New York Mortgage Trust Inc. 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,$18.59,-0.36,-1.90%,0.00,United States,,43853,Real Estate,Real Estate Investment Trusts
NYMTN,New York Mortgage Trust Inc. 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,$18.17,-0.3762,-2.028%,0.00,United States,,24564,Real Estate,Real Estate Investment Trusts
